prime,variance,Sp^2,Fp^2,Mp^2,-2SF,2MF,-2MS,half
102551,38.91631209320276,114170.91666585406,100396.96198105438,478.1407657026676,-214050.8215691126,13256.8980393092,-14213.179570714536,False
138337,49.88079727960079,11528.08333273094,11478.202872791873,1.8121877313354913e-31,-22956.405408243212,-1.2896619406940451e-29,0.0,False
151553,53.879140997443955,12629.416666116804,12575.537837441403,9.003498161202489e-32,-25151.07536256076,-9.594127640577373e-30,-0.0,False
167987,58.8950040918423,26767.916666170597,27350.384703382228,7.857485458059446,-54051.54888000293,-649.2202410250933,633.5052701089741,False
193741,66.09450760973039,16145.083332903207,16078.989079928993,2.259161803189757e-31,-32157.977905222466,1.3708928512392955e-29,0.0,False
118787,44.08677511922229,14659.916665965131,14244.250256613415,7.547668617047618,-28852.53247884228,364.0323472510329,-379.1276844851281,False
181399,62.728902736384754,78117.58333287394,73055.36911980339,103.3264991881827,-151006.8970507528,4896.159079431203,-5102.812077807568,False
124001,45.68717747980099,10333.41666599463,10287.729856791526,5.487212848826865e-32,-20575.459345306353,3.175066722389682e-30,0.0,False
101581,38.83914290748041,8465.08333251297,8426.24462275752,1.1048626788759757e-31,-16852.48881236301,-2.666550734741749e-30,-0.0,False
155699,55.35308323402094,45735.916666131445,41991.332267476835,110.15651373917542,-87561.73933663509,3579.075105686844,-3799.3881331651946,False
104549,39.674501518875545,8712.416665869592,8672.742588394456,7.39027541860474e-34,-17345.484752745175,-6.054113622921002e-32,-0.0,False
101477,38.799379754023775,8456.416665845463,8417.617719687394,5.3847771394967233e-33,-16835.23500577883,-8.418338611976557e-32,0.0,False
140339,50.602657790317494,38919.916666072866,34111.743392506076,228.27007037208335,-72752.78733041653,4529.300877932609,-4985.841018676777,False
158927,56.106942571218276,185468.91666614232,157371.07740794568,1245.0510962108701,-341538.8360353059,26796.681519342656,-29286.783711764398,False
184477,63.36079533982561,15373.083332881606,15309.722803157589,1.8381514014404905e-34,-30619.44534069936,4.919561568946185e-32,-0.0,False
183299,63.385928975424086,39923.91666621203,40185.177354989464,1.0619786486071159,-80044.64611357746,-325.7083308971568,323.5843735999426,False
101483,38.801673782083135,12177.91666584551,12767.963005283284,24.535916812724558,-24882.542080533985,-653.3834964622607,604.3116628368116,False
102407,38.86166782270239,65654.91666585291,60213.78452641346,134.1538076800591,-125695.68571676363,5268.1170968499755,-5536.424712210094,False
110749,41.71478203154623,9229.083332580882,9187.36895386387,3.9863915836964506e-32,-18374.73750441321,1.6789984500586798e-30,-0.0,False
128053,46.83943859369582,10671.083332682561,10624.24425331522,2.0021745229610534e-31,-21248.48814740409,-1.0169775354722812e-30,0.0,False
181457,62.74895932597938,15121.41666620742,15058.667975080925,1.7306493303950275e-31,-30117.335681962373,-3.4362772246879585e-30,0.0,False
190573,65.4545209924381,15881.083332896056,15815.629069022974,2.790060972401281e-34,-31631.257880926594,-2.0343530290194482e-31,0.0,False
141319,50.95601613189564,118705.58333274366,100359.85067756347,857.6110473778263,-218156.86694679738,17437.16592189267,-19152.388016648325,False
143519,51.74926966626153,380408.916666086,311951.4899707483,3509.1283581232287,-688799.529009045,64896.54939270846,-71914.80610895493,False
137273,49.85196159041976,11439.416666059604,11389.565041996186,1.0864663179607847e-31,-22779.12974646537,2.7953304261101593e-31,-0.0,False
134353,48.79155103008177,11196.083332713077,11147.29212654574,3.815674823107674e-33,-22294.583908228735,-9.099077715158683e-31,0.0,False
128159,46.878210855996,162000.91666601642,149347.51318708193,274.1037481585465,-311027.4478940838,12332.421878849234,-12880.629375166325,False
156679,55.313326312661864,96577.58333280146,91686.91157016564,72.0867236507882,-188137.09485300363,4763.272016903802,-4907.445464205376,False
154681,54.99117455873337,12890.08333279459,12835.092464242041,6.46693697282588e-32,-25670.18462247789,-3.0622628717566245e-30,0.0,False
155861,55.41067577610947,12988.416666132001,12933.00629404535,2.8742208427539212e-33,-25866.01228440124,-6.019048600226986e-31,0.0,False
196717,67.10975865654395,16393.08333290971,16325.973825036473,8.483941407579201e-32,-32651.947399289646,3.5400255516148924e-30,0.0,False
103583,39.30792941448967,114256.91666586215,97830.82401886924,690.2358486052856,-211358.19690671162,15696.549296971436,-17077.02099418201,False
120847,44.85131333193538,31095.583332643757,32616.4104209998,28.11073915908345,-63639.03170115252,-1593.7887657169713,1537.5672873988046,False
143419,51.71321268406371,19520.583332752285,18891.785614050317,11.440138739718472,-38349.21559537881,565.6446926651752,-588.5249701446121,False
148693,53.23596236891113,12391.083332772894,12337.847686491554,3.930674036718092e-33,-24675.69505689554,-6.327426498131563e-31,-0.0,False
138349,49.885124115414726,11529.083332730992,11479.19854592685,1.1351050023846889e-33,-22958.396754542428,-4.535990331480669e-31,-0.0,False
158881,56.090703091399625,13240.083332808832,13183.992929732385,9.118036903353687e-32,-26367.985559449822,-0.0,0.0,False
145423,52.06523133114972,26759.583332760292,28150.69003381572,33.91184161774805,-54824.29629362712,-1477.0834508091668,1409.2597675736708,False
128113,46.86138515720166,10676.083332682865,10629.22230658378,2.1518998419542803e-31,-21258.444254109443,7.587530920497617e-30,0.0,False
118801,44.09197100922825,9900.08333263188,9855.991743213266,1.709022080845694e-31,-19711.98310483592,-1.6204061210981396e-30,0.0,False
168151,58.952500726449955,64637.58333283775,61380.22815715084,52.17918153881436,-125906.67980772334,3146.223778879394,-3250.582141957023,False
197689,67.44135277353114,16474.083332911796,16406.642229688518,1.163914374635356e-30,-32813.28420982679,2.811262694215205e-29,0.0,False
194723,66.42951315048948,26427.916666238707,25992.79598185497,3.392971218512418,-52350.89016372468,365.29845336610566,-372.0843958031305,False
115771,43.284526400114565,14688.583332613522,15164.188656413286,12.706845881557548,-29796.78061674513,-531.5963073829388,506.18261561982393,False
188533,64.75386470904186,15711.083332891325,15646.329728083761,5.681534425194131e-35,-31292.659196266053,1.5328098095042742e-31,0.0,False
153817,54.68401436783452,12818.083332791564,12763.399626148772,3.5243508225227533e-32,-25526.7989445725,2.841681293120708e-30,0.0,False
187409,64.36781686108478,15617.416666222007,15553.049110821192,4.452714569174771e-33,-31106.09796018211,-1.6580289886672601e-31,-0.0,False
127139,46.5051192958878,40523.91666601122,38442.29869048427,35.82464873571701,-78883.88558846386,1999.2885693041717,-2070.937866775606,False
115931,43.344346218173314,38221.91666594785,34251.35251388442,145.16585682404047,-72284.75897679005,3782.054337183259,-4072.3860508313405,False
126013,46.4284709666039,10501.083332672026,10454.65522410199,4.845842824559379e-32,-20909.310085807414,4.194434444864512e-31,0.0,False
114809,42.92485977549957,9567.416665940824,9524.492198120779,1.8673540903232028e-32,-19048.984004286103,-8.373323993420274e-31,0.0,False
132113,47.97808561415162,11009.416666035893,10961.4389311317,9.793207229012941e-33,-21922.87751155344,1.0300750838447004e-30,-0.0,False
125093,46.089509706665126,10424.416666000496,10378.327521355655,1.4569778110709977e-33,-20756.65467764949,4.1072898293049076e-32,-0.0,False
104471,39.64490252637136,172730.916665869,149257.82196139696,902.6781666818931,-321046.4155580577,22530.772059624083,-24336.128392987863,False
134363,48.795182572553486,20997.916666046458,20640.32101728496,2.471442086463762,-41586.971058672396,306.3293689395613,-311.27225311248884,False
137339,49.87592977791631,28605.916666059897,29350.531313528354,8.988590997033207,-57897.58345881331,-803.4788308786166,785.5016488845504,False
176191,61.346701332332316,38707.58333286036,39584.45110857914,8.98508586498632,-78221.70265424218,-947.1992885925391,929.2291168625666,False
151717,53.937444540874644,12643.083332784065,12589.146200227628,1.7295688148469678e-31,-25178.292088470815,-3.35068899049272e-30,0.0,False
156899,55.39099337879478,25395.91666613554,26180.391238237935,13.844459963916234,-51507.07245103077,-853.7097216402638,826.0208017124313,False
172097,59.92125323172063,14341.416666182444,14281.49569380013,1.6686975185468814e-31,-28562.991106750855,5.441161498317371e-30,0.0,False
193559,66.03241900788211,196754.91666623612,180021.8302203031,403.3185154855493,-376307.3959520458,16263.735766314538,-17070.372797285636,False
194687,66.41723188807445,190112.91666623863,170880.90064976533,559.3718957749061,-360368.02818834095,18606.227142208507,-19724.970933758323,False
143527,51.75215422485104,47681.58333275272,45289.18216781589,39.65343409063832,-92879.35991225313,2300.9959017634983,-2380.3027699447744,False
126019,46.430681583644024,16126.583332672057,15986.107829582335,0.39640953635729703,-32065.864071134387,93.64877434903565,-94.44159342175027,False
183523,63.46338891476201,19262.583332879258,18720.663487361726,15.359972778244348,-37904.42345854798,463.0967490047698,-493.81669456125854,False
116911,43.39052595566575,36967.58333262054,33597.1016155412,108.37885296710108,-70412.91556923898,3218.712725916043,-3435.470431850245,False
187417,64.3705645325345,15618.083332888693,15553.71302980526,5.712087518635005e-32,-31107.42579816141,-3.1175819797138875e-30,0.0,False
122033,44.96209536980971,10169.416665983792,10124.454944829802,7.450767951398005e-32,-20248.909515443785,2.7341521164993636e-30,0.0,False
193663,66.06789820888329,51107.583332903036,49350.692378001244,20.948282696544535,-100371.25952999885,1669.8750287344287,-1711.7715941275178,False
186437,64.03397478705496,15536.416666219688,15472.38295425604,7.698018566946264e-34,-30944.765645688673,-2.7719634329856614e-31,-0.0,False
177379,61.33877373192806,21670.58333286353,23025.1363405969,66.116047051418,-44568.26485267708,-1482.0075541512376,1349.7754600484018,False
158749,56.04410284524246,13229.083332808395,13173.039530227568,2.666048651642156e-32,-26346.078760190725,-2.5968249322661842e-30,-0.0,False
108677,40.93435652658736,9056.41666589987,9015.482720377284,4.1185898996528066e-32,-18030.965029750565,-2.255458716181001e-30,-0.0,False
137399,49.89771903941179,192074.91666606016,173432.26356249597,504.79800461027133,-364952.4845049065,18087.957717131976,-19097.55372635252,False
127207,46.52999206512759,44089.58333267823,40414.56753143633,104.00022938508441,-84353.62064266435,3524.4859414071148,-3732.4864001772826,False
174157,60.638503581140526,14513.083332854838,14452.44510680111,5.960486480806449e-32,-28904.88993607481,1.1933722665315158e-30,0.0,False
124087,45.718862982798186,45309.583332661765,42010.274719539055,79.42003398969123,-87194.71915522829,3174.1700841716806,-3333.010152151063,False
191621,65.81446600807823,15968.41666623178,15902.602455936836,1.4689235865571642e-31,-31805.20465616054,1.4261747267626211e-30,-0.0,False
187423,64.37262528612249,46947.58333288871,46430.680725293976,1.64604762075636,-93312.2453852758,450.88419612859394,-454.1762913701066,False
111847,41.81744584173636,32729.583332588267,31166.30446080437,25.559341489464593,-63828.51100606143,1495.9024867881512,-1547.0211697670807,False
101611,38.850613048069135,17876.58333251321,16462.281816782837,54.31593266288418,-34245.6986035851,1321.1354030435666,-1429.7672683693347,False
168013,58.90411941192683,14001.08333283734,13942.179499117641,3.3378139708440724e-32,-27884.358712543057,-1.7524759574327988e-30,-0.0,False
134177,48.7276358832042,11181.416666045596,11132.689375477496,4.965645535811417e-32,-22265.378405639884,3.238431643735264e-30,0.0,False
142469,51.37067136902948,11872.416666081745,11821.046322269427,2.5470625612590133e-32,-23642.09231698214,2.0376500490072103e-30,-0.0,False
172219,59.96373116282564,22632.583332849452,22641.896478504594,0.14428440194575667,-45214.37179578927,-69.42088056945627,69.13231176556476,False
121889,44.90904058878987,10157.416665982984,10112.508000052116,8.354943093841605e-33,-20225.015625446315,-1.746012597570164e-31,0.0,False
130127,47.59805822872603,119084.91666602627,101925.36425201563,735.7180326873998,-220226.96482712572,16376.23667659544,-17847.672741970237,False
199921,68.20279116154381,16660.083332916503,16591.880788519127,1.453366895999679e-32,-33183.76133027409,1.8252094452403514e-30,-0.0,False
148667,53.226653802853946,24269.916666106128,23982.981337117377,1.1607566389702608,-48198.510592781684,232.54823468978452,-234.869747967725,False
167047,58.56545022109311,47409.583332834474,47263.14152090441,0.057723834207631546,-94614.10167968358,87.81892521908244,-87.9343728874977,False
156707,55.32321121192147,24939.91666613489,24748.979748897113,0.38921126694261937,-49633.183992553146,135.22479893597938,-136.00322146986463,False
133201,48.37319736308489,11100.083332707713,11051.710483189947,9.802150826868064e-33,-22103.420618534576,-5.19175988623081e-31,-0.0,False
105607,40.0759853351037,31601.583332544244,31560.748612842486,6.319071930397197e-06,-63122.25595373256,0.7591478431378944,-0.7591604812817551,False
103457,39.26011566717795,8621.41666586118,8582.156978713576,1.8840603180948602e-33,-17164.313528907576,3.4189732557225215e-31,0.0,False
196853,67.15615454049386,16404.416666243338,16337.26076231289,1.5345847938105048e-32,-32674.52127401574,-1.3548702482602956e-30,-0.0,False
190657,65.48337154655783,15888.083332896249,15822.600218355763,2.515811720080807e-30,-31645.200179705444,-4.8424646642156884e-30,0.0,False
129113,47.22716123861145,10759.416666021238,10712.189861059776,3.799063112335633e-35,-21424.3793658424,5.81799379489114e-32,-0.0,False
169097,59.28415815368389,14091.416666173853,14032.132791880962,7.486962558419431e-31,-28064.26529990113,-1.5413718721669094e-29,0.0,False
193573,66.03719505416214,16131.083332902832,16065.04639270519,2.551101356860431e-33,-32130.092530553855,-1.146690395939498e-30,-0.0,False
125017,46.06150856085588,10418.083332666758,10372.022189389654,9.335998679159299e-32,-20744.04401349556,3.414308088378258e-30,0.0,False
152821,54.32992694962238,12735.083332788034,12680.75371556903,1.014592452223391e-30,-25361.507121407434,0.0,-0.0,False
170179,59.253444483416956,21070.583332843653,21187.937552481584,1.117602770700136,-42198.14983807113,-177.72498287732648,175.48977733592616,False
108791,40.97729498788937,92586.91666590067,86505.96795829991,113.33429988949104,-178938.57302932322,5926.637523296704,-6153.306123075685,False
101467,38.79555637393158,9296.583332512047,9084.469423404038,9.988582484338442,-18332.268617057813,163.33020388842746,-183.30736885710436,False
166031,58.20925158974286,392060.91666616476,323294.65697947313,3440.7052616179303,-711856.65913243,65267.345462586716,-72148.75598582256,False
131111,47.957981976090636,135534.91666603106,129128.83623624548,83.24276398905089,-264532.5521563114,6274.880034668268,-6441.365562646369,False
109661,41.30498327463232,9138.416665906749,9097.112089948132,1.1291813586316867e-32,-18194.223772580248,8.460597887113517e-32,0.0,False
100393,38.38492540149163,8366.083332503262,8327.69884537951,3.7937647959126013e-32,-16655.39725248128,3.5008508628328374e-30,0.0,False
167107,58.58648557400565,17406.583332834653,16681.755848607623,35.351352343373684,-33994.40134352489,630.8899335508094,-701.5926382375568,False
123127,45.36516436487759,27949.583332656526,27421.81898025777,3.3345242747133703,-55322.70262427469,479.06503465003266,-485.73408319945923,False
106591,40.148658177746164,38123.58333255153,37359.90384423422,4.53195884970299,-75438.80655975829,718.9992903372731,-728.063208036679,False
193679,66.0733565475118,538868.9166662364,432499.58174713637,6035.6467597320525,-965266.7782970931,100267.6150575374,-112338.90857700151,False
113759,42.53229231658771,139800.9166659341,127316.59421240233,312.0374474604288,-266762.9411385595,12129.753109327992,-12753.828004248848,False
133319,48.41604955924891,227334.9166660416,196745.85923937435,1162.05451355237,-422870.3053423043,29378.587211093127,-31702.69623819786,False
159787,56.410550246581955,16340.583332811806,15565.36906193637,48.68035204177176,-31800.86149245982,670.1236669009336,-767.484370984477,False
172031,59.89827336746968,395024.9166661823,328373.6701229994,3198.5635455824618,-720140.1249702318,63392.785005190155,-69789.91209635507,False
146581,52.479820451439686,12215.08333276482,12162.60383295528,8.459166008943271e-32,-24325.20734526866,-8.200202740189486e-30,-0.0,False
111869,41.82567106136919,9322.416665921748,9280.59139711672,4.629158208802082e-31,-18561.182391977098,2.6551109069156076e-30,0.0,False
122929,45.29221403049618,10244.083332655435,10198.791490113194,4.8109872083788407e-35,-20397.582608738132,-6.832243300859071e-32,0.0,False
170081,59.219322870453865,14173.416666176705,14114.197627484622,3.167619111777064e-31,-28228.394970790872,-6.548920842970918e-30,0.0,False
160967,56.8271282477769,89038.91666614896,82395.42781438127,150.02634762906257,-171227.49100465336,6436.635672017849,-6736.688367275975,False
109873,41.38483376150258,9156.083332574883,9114.698905343475,2.1709928141665155e-30,-18229.397404156854,-9.36698023190946e-30,0.0,False
163991,57.4940496790882,266674.91666615853,219309.9784997516,2445.9618363993154,-483481.43927983165,44861.48257302758,-49753.4062458262,False
174337,60.701175945492636,14528.083332855333,14467.382434150706,1.3778002093326517e-32,-28934.764591060542,-3.1352609207925227e-31,-0.0,False
177409,61.34914782795745,14784.083332863609,14722.734459354737,3.34104366934313e-31,-29445.468644390385,-1.2895984078919115e-29,0.0,False
174281,60.68167787651979,14523.416666188512,14462.735265641944,1.6346787958295847e-32,-28925.470253953936,2.241845205709145e-31,-0.0,False
126257,46.51836939422302,10521.416666006637,10474.898658308628,4.368190410320879e-31,-20949.796954921043,-7.579464995346964e-30,0.0,False
122207,45.02620323159609,58144.91666598476,59398.834022388386,8.677804644405906,-117490.04668049717,-1307.620990596629,1290.2653813078173,False
133271,48.398618157353795,299474.91666604136,247389.3979954389,2586.7626164828503,-544229.1534268401,49450.357783624866,-54623.883016590575,False
154933,55.08076295135046,12911.083332795466,12856.002875352578,3.445977887493497e-33,-25712.005445196693,-3.0875961871941735e-31,0.0,False
153991,54.74587301584222,94057.58333279217,85307.90037458268,246.04873152110548,-179064.6891028379,8448.888661049872,-8940.986124092084,False
