prime,max,min,mean,median,std dev,x_max,x_min,half,least quad nonres
117443.0,13.118477703803478,-37.68711735766933,-10.55982411028574,-10.441185298334457,6.60211857879567,39737,117147,False,N/A
189253.0,31.348191225390963,-31.35801766635018,1.585883719597926e-16,0.0002516918706803,8.062329387662606,124732,64520,False,N/A
102407.0,34.89221404540859,-16.27132840689319,11.582478477426974,11.386864359622962,6.233912721774535,28847,73341,False,N/A
122131.0,19.219864254665367,-28.995691184275785,-5.723633622810275,-5.771374780821615,6.708069923336856,48852,97704,False,N/A
118163.0,31.376575371608983,-17.644745890281825,5.898055687105543,5.857840571290694,6.622324885548789,113656,102504,False,N/A
194323.0,31.402736854352057,-24.46130209995553,4.417903695271392,4.460729030571812,8.142054696462345,154302,87075,False,N/A
114073.0,23.78577903479068,-23.784304876629847,-4.60436028046835e-16,-0.0020699502827028,6.530672911233838,82651,31421,False,N/A
130457.0,24.401387462848504,-24.44270446601618,-6.636096715776893e-16,0.0018995103124446,6.907876979149279,35414,95042,False,N/A
176923.0,43.912348955702605,-22.321054137389627,12.59353171896406,12.603844623933767,7.821834022415366,45946,130680,False,N/A
104281.0,23.691550210420985,-23.70603367296325,-8.176477813907809e-16,0.0008186782702424,6.290691728133201,4345,99935,False,N/A
164893.0,27.62688334319138,-27.634337881042786,-6.760138052315411e-16,0.0015965979397378,7.603307247584913,160128,4764,False,N/A
138079.0,31.50453945778125,-22.080526381853872,1.0982330913522045,1.0202862974918212,7.056044948186607,61813,115166,False,N/A
108961.0,21.9828293071558,-21.96100442582795,5.112521955891728e-16,-0.0004336759025989,6.406350445327198,80262,28698,False,N/A
113143.0,23.4239106696964,-24.05403409028162,-2.283019674113354,-2.5558319048901126,6.503997701815424,3688,81132,False,N/A
106411.0,21.78187737259416,-25.85110778864515,0.8319821071235082,0.8434062112201417,6.35461113946998,26881,79257,False,N/A
193003.0,41.07252990675369,-30.619439191366016,2.9426024478308106,2.984921321058952,8.114354055837671,191129,1401,False,N/A
170029.0,27.1361849284738,-27.130793212518547,-2.941980991331541e-17,-0.0004057927574194,7.694232744392156,77285,3616,False,N/A
116533.0,39.40728370549789,-39.45720111465897,1.4633645111893116e-17,0.0007405377156679,6.576491235371723,38844,77688,False,N/A
104311.0,18.44069063586042,-27.174302464979444,-4.492810976941406,-4.65635084831454,6.291596510091098,60341,101753,False,N/A
154111.0,47.22338935699622,-5.732329731254254,18.22043171407644,18.123291257339982,7.401927732209759,51370,106332,False,N/A
1824689.0,79.10146047095671,-79.0964436765145,1.3956269616160337e-17,0.0010380693877891,21.10668866236693,134997,1689691,False,N/A
1759283.0,94.0925883383336,-67.95659365529261,12.65154345187114,12.635448254616222,20.775072583792102,676647,1217965,False,N/A
1775563.0,86.2450305575378,-72.50810137701518,10.65678016747442,10.735498934049248,20.82062304254443,438651,837518,False,N/A
1210151.0,95.55380949789992,-35.592712579776844,37.10832204887495,36.98181034248728,17.663355223179128,889554,979402,False,N/A
1924651.0,96.54690668209044,-73.0316064360488,16.090042331478646,16.40872540765372,21.573405925566547,183408,216152,False,N/A
1147709.0,68.17590557137544,-68.18151268878773,3.4629787226097353e-16,9.26051924921012e-07,17.289832375421476,286927,860781,False,N/A
1008451.0,71.12023735332676,-52.49959186928053,7.244187648269609,7.079978881542104,16.333441398264338,252724,1007727,False,N/A
1673171.0,61.07532881675287,-95.4704997883092,-15.774197877374924,-16.00188566978261,20.30948793611359,425853,633917,False,N/A
1416949.0,77.14535496788676,-77.1290862524931,1.2837366789812876e-16,-6.9252483854143065e-06,18.921459342180263,1010084,406864,False,N/A
1587067.0,69.90162164403428,-101.86359043691688,-11.879908342391866,-12.005012757805048,19.876968059574185,1267018,723243,False,N/A
1030091.0,125.48355650962436,-29.32999014412832,32.26002453953574,32.309956102890965,16.50775795576434,515045,151491,False,N/A
1067551.0,58.83142714584608,-61.03202183696175,-1.0617205448545046,-0.939558225193764,16.761529137493337,271775,898686,False,N/A
1368737.0,70.01930683171466,-70.0031812554775,1.089742814658771e-16,0.0007455345935909,18.643320202374944,1307998,60738,False,N/A
1413571.0,63.17392564958239,-86.71990113543495,-8.041959521443822,-8.024885470562992,18.89889155301132,70915,1072364,False,N/A
1118371.0,63.29774172038475,-63.86226087024997,-5.1596969527566925,-5.165470898127822,17.111463397584306,344873,930610,False,N/A
1918799.0,143.0230136488824,-36.37794230225654,47.5943108171965,47.8608092681252,21.540583438911256,237196,614331,False,N/A
1831993.0,78.25849279348103,-78.27421043343395,7.546054743084994e-17,-0.0010347902393164,21.14889017230547,738148,1093844,False,N/A
1974319.0,154.14947665876548,-20.36034498055119,65.35965414386423,65.44850482381003,21.79803520683788,1316212,1062689,False,N/A
1916023.0,72.29510465716044,-85.88722066852733,-6.43238758177931,-6.8701686162820295,21.524996008061485,1473794,294681,False,N/A
1830391.0,254.9741399322843,-6.617160115052619e-06,111.91498606793824,112.23258729930352,21.13964124876665,610130,1830390,False,N/A
1263751.0,115.89842469380824,-27.307879750430743,49.799373183591406,49.98798337978354,18.004534878424835,421290,526820,False,N/A
1456313.0,73.2132892418511,-73.21372854045904,2.6229785406339835e-16,0.0001670938197548,19.13482739200409,469546,986766,False,N/A
1063067.0,83.00543697706946,-44.2583543126925,22.662324067691326,22.93067200677485,16.72629065599324,1060707,254161,False,N/A
1838407.0,81.02607451791397,-77.4622423223459,0.1829617191178617,0.2340019331051053,21.13501373356195,438839,1220549,False,N/A
1521217.0,82.55341982649156,-82.55293302600978,-2.606726653547763e-16,0.0001529064999701,19.508226292433232,1450708,70508,False,N/A
