prime,max,min,mean,median,std dev,x_max,x_min
173993,247.27083669458324,-247.27083669458275,-3.1363148003871246e-15,0.0,120.1617058046472,25566,148427
102763,258.5872301837684,-124.82846366244374,43.09244447991829,9.003303993356747,92.32869003365262,64183,89864
139121,244.6735766667763,-244.67357666677648,1.2551878058697264e-15,0.0,107.43953423954547,35703,103418
182297,274.79177223110935,-274.79177223110975,1.5965062758429214e-15,0.0,122.99746948248671,26049,156248
121139,425.8736268991133,0.0,147.5892035724772,139.78163145230752,100.2494755867522,60569,0
177433,235.88069939651967,-235.88069939651882,-6.561086259429464e-16,0.0,121.34548265197539,28874,148559
148483,274.8848134943885,-107.85729873197636,58.327053722329715,13.047119182681019,110.99740029167016,92729,130006
191491,311.4817788784704,-113.85105544602901,85.23289088190612,79.12209662190062,126.0627374462637,72710,39629
119813,252.7416659207491,-252.74166592074928,4.372388206798984e-15,0.0,99.69929530684357,39943,79870
194057,275.97526662726153,-275.97526662726113,8.473625897573673e-15,0.0,126.90632218553766,25983,168074
117259,284.8394490354536,-165.0582881502094,63.746096889663626,51.745130924264544,98.63094868411403,46902,23415
163853,395.6402839595142,-395.6402839595146,-1.0307101515922842e-14,0.0,116.60605168998325,54644,109209
120847,345.0900684088567,-24.456858717195605,150.30195616344412,155.30957911763124,100.12857930901602,78098,15030
197137,259.1677671030847,-259.16776710308557,-1.6885468524370956e-15,0.0,127.90946228913637,25912,171225
172561,221.5191007845453,-221.51910078454503,-8.643733583530474e-15,0.0,119.66620577381623,7109,165452
120851,435.2223075958879,-10.74864916128635,142.87207462250888,116.73428017479304,100.13023640850159,60425,29899
122387,316.4043377844353,-39.83796763784452,103.4990680013174,61.468555797441375,100.76618737159944,61193,12999
151573,265.0951875550949,-265.0951875550951,7.488466862914994e-15,0.0,112.1481047270918,50605,100968
174101,241.57780471635428,-241.57780471635417,3.092577661527352e-15,0.0,120.19899308352106,46139,127962
115223,448.88940184549324,0.0,284.4387261445318,307.2062603805835,97.769307110954,46161,0
152599,537.3449599123902,0.0,266.77345489645364,268.48710140652304,112.5270307042468,101855,0
157721,235.68393640591222,-235.68393640591185,-6.919773791235878e-16,0.0,114.40164239454276,45615,112106
129049,201.8435497397957,-201.84354973979532,9.021016964636286e-15,0.0,103.47405441739159,9092,119957
193051,333.0254655182573,-134.94808671766629,88.78888573898853,82.53203171628854,126.57695079155742,73055,33492
117787,256.82450116362685,-116.81182513205768,48.87464371089702,15.762645608625796,98.85275958391391,46999,23477
173599,648.3663560948409,0.0,333.0286697923349,331.5082785560777,120.02557807408114,57807,0
106019,320.7430693117855,-34.92607553654361,105.50237276466514,93.48569802857513,93.77998056767007,53810,99139
180773,272.8630005583077,-272.8630005583079,-1.415008794862264e-15,0.0,122.48226200363219,60173,120600
171049,229.88260941554918,-229.88260941554947,0.0,0.0,119.14078753543929,12457,158592
157739,456.87041863408604,-18.547361540373476,149.61464567614135,141.57857718418757,114.40817028497513,78869,11497
145963,301.9665407556687,-114.75926394051285,60.26759133129814,17.646196087213465,110.05146565003868,91169,18564
107053,234.81868745389974,-234.81868745389983,5.5477197300189826e-15,0.0,94.23779007338206,35727,71326
111149,215.8956980079223,-215.8956980079218,5.105981105599755e-15,0.0,96.02370345087262,27768,83381
105517,197.55716238271128,-197.55716238271168,2.1376146596253325e-15,0.0,93.55769300305012,39358,66159
138289,211.34065051972928,-211.34065051972968,-7.576437001080443e-15,0.0,107.11778647942629,7302,130987
110641,183.91185184534427,-183.91185184534413,-2.1043794222202405e-15,0.0,95.80401678851159,12398,98243
109619,468.6302212374758,0.0,156.15613930054297,127.83875233631274,95.36051546389427,54809,0
145969,206.4280424149953,-206.42804241499522,-1.5950691150440822e-15,0.0,110.05372753150293,9925,136044
142903,400.4440923406544,0.0,196.3282334619497,198.34529528155167,108.89011204260532,89577,0
123449,197.58818080203753,-197.5881808020368,-9.017663285810854e-15,0.0,101.2024369031879,31757,91692
182333,343.72600045820803,-343.72600045820786,3.142501149637996e-16,0.0,123.00961364919588,60800,121533
133697,245.6263403589142,-245.62634035891477,-7.183604756069412e-15,0.0,105.32266465840064,19246,114451
154183,369.0944072124682,-55.25965783048117,162.07871843987945,160.35461938705555,113.10954649786271,64159,12937
170057,253.23391550143324,-253.23391550143342,3.679544828026924e-15,0.0,118.79480621575175,24481,145576
136777,203.62357248427676,-203.6235724842765,-4.255661471845954e-15,0.0,106.52892487226283,23611,113166
175691,637.2517705682876,0.0,216.52857837742786,189.224871060435,120.7466120844824,87845,0
149579,495.4483690962633,-3.107731806014453,163.6224731640446,136.530732703116,111.40630058778083,74789,149162
180811,306.5747695140105,-173.98221651168538,66.59843148302069,68.64382634760632,122.49513472629339,108579,35998
139339,329.2985389009169,-195.19114875818386,68.67807252585177,40.79754124160088,107.52367915748869,83608,27795
164431,371.29501892189234,-57.35082299804475,169.062820209124,168.950786200243,116.81153759725602,52076,160459
129113,219.42104692586628,-219.42104692586642,4.71959795053838e-15,0.0,103.49970947331097,32301,96812
104537,207.26009978952425,-207.26009978952357,5.568139597794791e-15,0.0,93.12221615776888,14892,89645
141917,250.21758563822695,-250.21758563822726,-4.024624764569424e-15,0.0,108.51380261542961,46420,95497
155741,265.30346736284,-265.3034673628403,-1.032292341541555e-14,0.0,113.67958900093404,39915,115826
156259,279.9318398359834,-134.48046382672584,86.36497935116208,75.40708150767261,113.87018303762879,64747,129374
115301,220.5629820404308,-220.56298204043085,-2.0577829361845314e-15,0.0,97.80239388958589,38293,77008
146021,231.79702322006193,-231.79702322006256,-1.8934700443016427e-15,0.0,110.07332855723564,36611,109410
153191,698.0914070190698,0.0,537.8355411938599,573.7035151757119,112.74509084505578,83609,0
192613,313.3960610429051,-313.3960610429049,-6.610626398436759e-15,0.0,126.4332784289145,64470,128143
194149,246.92388332367352,-246.92388332367386,-9.443990537031988e-15,0.0,126.93640097213344,68910,125239
159337,268.61921257602455,-268.61921257602455,5.479674612312339e-16,0.0,114.98622502805964,20975,138362
169067,387.99895696041744,-13.09337998414164,129.05073881747674,93.5691868530983,118.44679526947495,83993,167146
150131,374.8449985328909,-43.22179530456057,122.96324865074374,114.40420936485303,111.61336557395909,74337,7151
184949,261.08219363419846,-261.0821936341985,-4.524139766265803e-15,0.0,123.89065349419235,58639,126310
104053,205.04230574203348,-205.04230574203314,-1.3985099159434953e-15,0.0,92.90639093358956,38832,65221
152183,525.6256260247511,-0.21769700576368678,326.1347407862532,350.4812982620074,112.37354610947249,60979,231
101501,189.10949785516965,-189.10949785516937,-2.8673442090948565e-15,0.0,91.75842491822104,26566,74935
107647,278.35700863969737,-67.49295152389405,113.17443619872816,113.43142019689209,94.49887482765256,75885,101322
140417,232.4662850831341,-232.4662850831341,-5.80348001159791e-15,0.0,107.93880773933036,23303,117114
143489,229.3207619001741,-229.32076190017395,-4.056593948906704e-15,0.0,109.11314558174273,36566,106923
162947,377.21664140340414,-83.90197785247162,102.25716473232107,56.05980300397165,116.28322719167716,87555,12521
141443,309.2513799401702,-110.59729704942824,68.84020935719687,28.885208393059,108.33243405937473,65159,130402
122503,458.5604496741501,0.0,232.6994163196275,235.68139772466938,100.81392981699437,40850,0
101513,193.25489099031432,-193.25489099031466,9.461117345287917e-15,0.0,91.76384884781977,28979,72534
158863,361.4474435028039,-62.191171262401745,147.17074396786532,159.17375961267095,114.81506558089563,99673,139214
105619,242.35258056359118,-93.3481082075149,75.38260605832957,68.86184552348485,93.60290173528237,51280,85191
181913,262.5018698725813,-262.5018698725811,-2.8797774112966456e-15,0.0,122.86785701768089,30145,151768
130201,198.71046380381307,-198.71046380381273,-1.7882400569417255e-15,0.0,103.93487653492288,5399,124802
144541,257.6704823801847,-257.67048238018486,3.2216553594325436e-15,0.0,109.51408220726064,52557,91984
131743,379.77920378964194,0.0,191.64979388055988,196.82783711872813,104.54852715046566,87829,0
149153,237.87670626909656,-237.8767062690969,-6.731893765176113e-15,0.0,111.24754527104737,21515,127638
119971,272.2855375356452,-108.69809949330053,64.16045530185772,61.88601662666974,99.76501145948501,45624,22832
